player,player_name,team,player_id,agents_count,agents,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,k_max,kills,deaths,assists,first_kills,first_deaths,clutches_won,clutches_attempted
trexx,trexx,VIT,2168,2,"['Sova', 'Fade']",151,1.23,228.0,1.24,0.72,155.0,0.81,0.34,0.09,0.07,0.23,0.14,26,123,99,52,13,10,3,21
Derke,Derke,FNC,5022,2,"['Raze', 'Yoru']",293,1.22,257.4,1.33,0.72,167.0,0.92,0.18,0.17,0.14,0.24,0.27,30,269,202,54,51,42,6,22
primmie,primmie,TLN,25255,4,"['Yoru', 'Sage', 'Clove', 'Raze']",85,1.22,243.0,1.32,0.74,152.4,0.88,0.27,0.08,0.06,0.37,0.13,22,75,57,23,7,5,2,15
Chronicle,Chronicle,FNC,458,2,"['Viper', 'Sova']",293,1.21,224.4,1.23,0.73,153.8,0.77,0.29,0.13,0.07,0.26,0.12,25,227,185,84,38,21,4,34
keznit,keznit,KRÜ,2462,4,"['Neon', 'Omen', 'Raze', 'Jett']",156,1.18,250.8,1.16,0.76,170.7,0.83,0.33,0.14,0.08,0.23,0.13,22,130,112,51,22,13,1,8
CHICHOO,CHICHOO,EDG,15559,5,"['Omen', 'Viper', 'Killjoy', 'Cypher', 'Astra']",449,1.18,221.5,1.24,0.76,144.5,0.79,0.29,0.11,0.06,0.29,0.16,27,353,284,129,50,26,9,57
Meteor,Meteor,GEN,13039,3,"['Killjoy', 'Yoru', 'Cypher']",153,1.17,241.1,1.32,0.71,160.7,0.9,0.17,0.11,0.1,0.37,0.16,28,137,104,26,17,16,3,19
RieNs,RieNs,TH,10971,3,"['Sova', 'Gekko', 'Viper']",552,1.15,214.2,1.17,0.75,145.0,0.76,0.29,0.09,0.09,0.38,0.22,28,419,359,158,48,50,14,65
Smoggy,Smoggy,EDG,4742,4,"['Clove', 'Brimstone', 'Viper', 'Omen']",449,1.14,213.1,1.21,0.76,133.8,0.76,0.37,0.06,0.06,0.28,0.15,23,340,281,165,29,28,9,60
t3xture,t3xture,GEN,9196,2,"['Jett', 'Raze']",153,1.14,242.6,1.17,0.69,157.2,0.84,0.18,0.18,0.14,0.25,0.19,24,128,109,27,28,21,3,16
aspas,aspas,LEV,8480,3,"['Raze', 'Jett', 'Neon']",407,1.14,220.5,1.19,0.74,146.9,0.8,0.17,0.15,0.1,0.28,0.16,29,326,274,68,61,42,7,45
zekken,zekken,SEN,4004,3,"['Jett', 'Raze', 'Neon']",361,1.12,252.2,1.17,0.71,161.0,0.89,0.26,0.2,0.18,0.23,0.27,27,323,275,94,73,66,4,15
TenZ,TenZ,SEN,9,3,"['Omen', 'Gekko', 'Kayo']",361,1.1,213.4,1.08,0.75,139.2,0.75,0.44,0.07,0.09,0.25,0.05,29,271,251,158,27,33,2,37
Kai,Kai,TE,37494,3,"['Jett', 'Cypher', 'Killjoy']",208,1.1,213.9,1.1,0.7,145.8,0.76,0.17,0.14,0.13,0.29,0.04,25,158,143,36,29,26,1,26
ZmjjKK,ZmjjKK,EDG,3520,3,"['Neon', 'Raze', 'Jett']",449,1.1,250.8,1.2,0.69,160.6,0.88,0.21,0.23,0.19,0.24,0.17,28,394,329,95,105,85,4,23
Alfajer,Alfajer,FNC,9810,4,"['Gekko', 'Killjoy', 'Breach', 'Iso']",293,1.09,209.7,1.11,0.73,145.3,0.75,0.23,0.09,0.07,0.32,0.19,25,220,198,68,27,20,6,31
Autumn,Autumn,FPX,872,2,"['Viper', 'Chamber']",115,1.08,211.8,1.12,0.71,134.5,0.75,0.23,0.17,0.1,0.32,0.15,20,86,77,27,19,11,3,20
Shyy,Shyy,KRÜ,24007,3,"['Cypher', 'Viper', 'Killjoy']",156,1.07,211.1,1.16,0.69,139.9,0.78,0.26,0.13,0.12,0.27,0.24,23,121,104,40,21,18,6,25
yetujey,yetujey,FUT,8369,2,"['Cypher', 'Viper']",88,1.07,231.8,1.14,0.69,145.0,0.82,0.18,0.19,0.08,0.3,0.0,19,72,63,16,17,7,0,16
mindfreak,mindfreak,PRX,9800,3,"['Viper', 'Omen', 'Brimstone']",140,1.06,210.1,1.04,0.78,134.4,0.74,0.41,0.05,0.04,0.31,0.19,22,104,100,58,7,6,3,16
Kicks,Kicks,VIT,11134,3,"['Kayo', 'Gekko', 'Breach']",151,1.05,187.1,0.92,0.72,120.2,0.63,0.5,0.06,0.07,0.24,0.22,22,95,103,75,9,11,4,18
Flashback,Flashback,DRX,35013,3,"['Cypher', 'Viper', 'Killjoy']",238,1.04,202.3,1.16,0.76,133.4,0.74,0.23,0.1,0.05,0.3,0.18,27,177,153,54,24,12,6,34
kiNgg,kiNgg,LEV,8549,3,"['Brimstone', 'Omen', 'Viper']",407,1.04,185.1,1.04,0.75,120.2,0.67,0.36,0.08,0.07,0.32,0.17,25,271,261,148,31,29,10,58
LuoK1ng,LuoK1ng,TE,3045,3,"['Omen', 'Brimstone', 'Astra']",208,1.04,201.6,1.1,0.74,131.3,0.75,0.35,0.07,0.04,0.33,0.0,27,155,141,73,15,9,0,29
heat,heat,KRÜ,8673,4,"['Breach', 'Sova', 'Fade', 'Gekko']",156,1.03,191.4,1.09,0.74,123.3,0.73,0.26,0.06,0.04,0.33,0.09,21,114,105,40,10,7,2,23
MaKo,MaKo,DRX,4462,3,"['Omen', 'Brimstone', 'Viper']",238,1.02,192.7,0.99,0.77,124.9,0.66,0.4,0.07,0.08,0.27,0.17,21,157,158,95,16,19,4,23
BuZz,BuZz,DRX,804,3,"['Jett', 'Raze', 'Neon']",238,1.01,241.3,1.11,0.68,149.7,0.83,0.17,0.22,0.2,0.23,0.17,24,198,178,40,53,47,2,12
Sacy,Sacy,SEN,659,3,"['Sova', 'Fade', 'Gekko']",361,1.01,190.1,0.9,0.74,128.8,0.61,0.45,0.07,0.08,0.23,0.21,19,222,247,162,26,29,8,39
Sayf,Sayf,VIT,312,3,"['Jett', 'Neon', 'Raze']",151,1.01,210.0,1.03,0.67,139.1,0.72,0.22,0.11,0.17,0.27,0.2,22,109,106,33,16,25,3,15
johnqt,johnqt,SEN,1265,3,"['Cypher', 'Deadlock', 'Viper']",361,1.0,162.2,1.01,0.74,106.9,0.59,0.28,0.07,0.06,0.24,0.18,23,214,212,101,27,22,9,50
valyn,valyn,G2,3885,4,"['Harbor', 'Omen', 'Brimstone', 'Astra']",200,0.99,191.2,0.99,0.72,118.4,0.7,0.34,0.07,0.07,0.23,0.18,25,139,140,67,13,13,5,28
S1Mon,S1Mon,EDG,13768,3,"['Breach', 'Fade', 'Kayo']",449,0.99,164.5,0.89,0.76,109.1,0.57,0.49,0.06,0.04,0.29,0.2,24,256,287,220,29,16,8,40
Karon,Karon,GEN,34974,4,"['Omen', 'Astra', 'Brimstone', 'Viper']",153,0.99,180.4,1.0,0.73,114.8,0.67,0.42,0.07,0.07,0.32,0.19,23,103,103,64,11,10,3,16
cNed,cNed,FUT,573,2,"['Jett', 'Raze']",88,0.99,222.3,0.99,0.67,151.4,0.77,0.13,0.18,0.14,0.25,0.0,21,68,69,11,16,12,0,8
Wo0t,Wo0t,TH,21328,6,"['Gekko', 'Fade', 'Omen', 'Skye', 'Kayo', 'Breach']",552,0.99,189.6,0.97,0.75,124.2,0.66,0.39,0.07,0.09,0.36,0.18,25,363,376,213,39,49,9,51
