id,ts,team,avg_acs
1,2025-10-07 23:13:43.256053+05:00,DRX,232.39
2,2025-10-07 23:13:53.259923+05:00,G2 Esports,233.85
3,2025-10-07 23:19:20.411401+05:00,Team Vitality,215.44
4,2025-10-07 23:19:30.417046+05:00,Sentinels,209.03
5,2025-10-07 23:19:40.428656+05:00,G2 Esports,204.28
6,2025-10-07 23:19:50.432837+05:00,Sentinels,206.49
7,2025-10-07 23:20:00.447994+05:00,Team Vitality,213.32
8,2025-10-07 23:20:10.463800+05:00,G2 Esports,206.05
9,2025-10-07 23:20:20.465528+05:00,G2 Esports,203.07
10,2025-10-07 23:20:30.471004+05:00,FNATIC,202.22
11,2025-10-07 23:20:40.479300+05:00,Sentinels,201.51
12,2025-10-07 23:20:50.493219+05:00,Gen.G,195.90
13,2025-10-07 23:21:00.498414+05:00,Paper Rex,192.43
14,2025-10-07 23:21:10.502146+05:00,FUT Esports,197.41
15,2025-10-07 23:21:20.505768+05:00,LEVIATÁN,193.03
16,2025-10-07 23:21:30.510207+05:00,LEVIATÁN,190.59
17,2025-10-07 23:21:40.514877+05:00,Gen.G,184.09
18,2025-10-07 23:21:50.523674+05:00,Sentinels,191.52
19,2025-10-07 23:22:00.539513+05:00,Gen.G,197.14
20,2025-10-07 23:22:10.554219+05:00,FNATIC,189.29
21,2025-10-07 23:22:20.564752+05:00,KRÜ Esports,182.91
22,2025-10-07 23:22:30.576454+05:00,Gen.G,186.35
23,2025-10-07 23:22:40.589730+05:00,LEVIATÁN,189.17
24,2025-10-07 23:22:50.595001+05:00,Gen.G,193.73
25,2025-10-07 23:23:00.599619+05:00,FNATIC,194.81
26,2025-10-07 23:23:10.603319+05:00,Gen.G,191.06
27,2025-10-07 23:23:20.605488+05:00,G2 Esports,187.58
28,2025-10-07 23:23:30.614899+05:00,LEVIATÁN,193.73
29,2025-10-07 23:23:40.632271+05:00,TALON,200.75
30,2025-10-07 23:23:50.635737+05:00,Team Vitality,203.59
